from,to,path
1,96,90;20;119
1,96,58;20;119
1,96,99;125;119
1,96,90;125;119
1,97,99;36;128;72;51
1,98,58;145;8;120
1,98,58;145;55;120
1,100,99;36;128;72;51;132
1,103,58;145;68;111;66
1,103,58;145;55;120;30
1,103,58;145;8;120;30
1,103,58;145;68;0;30
1,103,58;145;68;111;30
1,104,99;36;128;7;56
1,104,99;125;65;7;56
1,104,90;125;65;7;56
1,104,99;36;65;7;56
1,107,58;145;139;71;44;86
1,108,58;145;139;71;44;86;107
1,108,58;145;139;71;44;86;28
1,108,58;145;139;71;44;134;28
1,109,58;145;8;120
1,109,58;145;55;120
1,110,58;145;69;123
1,111,58;145;68
1,116,99;36;65;127
1,116,90;125;65;127
1,116,99;125;65;127
1,116,90;125;119;148
1,116,99;125;119;148
1,116,58;20;119;148
1,116,90;20;119;148
1,116,99;36;65;148
1,116,90;125;65;148
1,116,99;125;65;148
1,117,99;36;128;72;51;132
1,118,58;145;69;123
1,119,90;125
1,119,99;125
1,119,58;20
1,119,90;20
1,120,58;145;55
1,120,58;145;8
1,122,99;36;128;72
1,123,58;145;69
1,125,99
1,125,90
1,127,99;125;65
1,127,90;125;65
1,127,99;36;65
1,128,99;36
1,129,58;145;139;71;44;134;49
1,131,58;145;139;71;44;134
1,132,99;36;128;72;51
1,133,58;145;68;111;66
1,134,58;145;139;71;44
1,137,58;145;55;120;109
1,137,58;145;8;120;109
1,137,58;145;55;120;50
1,137,58;145;8;120;50
1,138,99;36;128;72
1,138,99;36;65;7
1,138,90;125;65;7
1,138,99;125;65;7
1,138,99;36;128;7
1,139,58;145
1,140,58;145;68;0
1,142,58;145;68;111;30;81
1,142,58;145;68;0;30;81
1,142,58;145;8;120;30;81
1,142,58;145;55;120;30;81
1,142,58;145;68;111;30;22
1,142,58;145;68;0;30;22
1,142,58;145;8;120;30;22
1,142,58;145;55;120;30;22
1,142,58;145;68;111;66;22
1,144,58;145;139;71;44;86
1,145,58
1,146,58;145;68
1,147,58;145;139;71;44;134;131
1,148,99;125;65
1,148,90;125;65
1,148,99;36;65
1,148,90;20;119
1,148,58;20;119
1,148,99;125;119
1,148,90;125;119
1,149,58;145;69;123
1,153,58;145;68;146
1,153,58;145;68;0
1,154,99;36;128;72
1,156,58;145;55;120;30
1,156,58;145;8;120;30
1,156,58;145;68;0;30
1,156,58;145;68;111;30
1,157,58;145;69;123
1,160,99;36;128;72;51;132
2,3,100;132
2,4,86;134;27;32
2,4,86;28;27;32
2,4,107;28;27;32
2,4,86;134;131;32
2,4,107;108;25;33
2,4,86;28;25;33
2,4,107;28;25;33
2,4,86;134;27;33
2,4,86;28;27;33
2,4,107;28;27;33
2,6,86;44;71;139;145
2,7,100;132;51;138
2,7,100;132;51;72
2,7,100;132;51;56
2,8,86;44;71;139;145
2,10,100;132;51;56;116
2,11,100;132;51
2,13,107
